Store_ID, Transaction_Date, SKU1, Quantity1, UnitCost1, SKU2, Quantity2, UnitCost2, SKU3,Quantity3,UnitCost3
5,2/19/2023,B398703,9,161,B617760,8,473,B252470,3,132
8,11/30/2022,B325734,2,253,B598408,1,328,B777874,9,494
7,8/6/2022,B914702,2,178,B441976,1,111,B785187,10,292
2,10/6/2022,B532921,2,275,B477851,2,401,B334946,9,492
1,10/15/2022,B554939,2,182,B913557,8,345,B483552,7,331
6,8/20/2022,B888257,7,163,B492862,10,143,B634319,8,477
8,7/3/2022,B809632,9,164,B240389,7,306,B802810,6,210
10,3/26/2022,B255129,3,104,B404198,4,180,B941772,6,244
8,7/10/2022,B611577,10,489,B644549,2,388,B812527,9,313
4,4/25/2022,B375256,8,226,B914006,4,386,B501698,10,439
7,2/19/2023,B884213,6,259,B157853,1,428,B607226,10,336
10,12/26/2022,B374455,7,379,B850271,5,101,B221463,9,458
7,1/21/2023,B943787,9,406,B998829,5,450,B528714,7,204
7,6/17/2022,B788622,1,376,B824012,4,239,B733262,9,134
9,2/22/2022,B391401,1,151,B570570,2,487,B375287,4,110
8,5/23/2022,B737210,5,393,B293858,3,405,B503267,10,184
8,7/1/2022,B968458,5,275,B158665,1,468,B130837,1,136
1,12/18/2022,B161893,6,331,B939078,7,210,B117597,6,438
2,11/9/2022,B344491,4,152,B395679,2,267,B595002,6,456
10,5/29/2022,B579540,1,163,B449225,3,334,B797876,3,320
5,8/19/2022,B118696,3,375,B467045,8,367,B191476,10,287
8,3/22/2022,B990994,9,451,B664897,8,376,B622655,9,465
8,3/1/2022,B698940,7,187,B257452,7,314,B291241,3,245
10,10/25/2022,B988518,5,315,B525792,10,104,B467318,8,446
3,7/27/2022,B863535,5,164,B971996,10,251,B604436,2,435
10,12/25/2022,B484029,10,454,B978784,3,447,B815645,8,220
6,6/14/2022,B849448,2,240,B266276,5,389,B996143,7,115
8,7/12/2022,B664107,8,358,B236111,3,252,B945953,7,246
4,8/3/2022,B103764,10,420,B448538,6,109,B609568,1,244
8,2/28/2022,B252566,3,212,B323158,1,479,B599353,1,488
10,9/25/2022,B464252,4,341,B139364,3,460,B586240,9,314
5,10/24/2022,B682397,10,207,B387251,10,241,B443410,7,246
2,7/10/2022,B115407,9,449,B193235,5,354,B353338,9,348
5,9/6/2022,B528135,7,174,B183199,4,419,B562501,1,252
3,3/4/2022,B683582,4,114,B946757,6,419,B280869,9,446
4,1/10/2023,B950988,1,406,B678289,5,485,B425709,6,369
1,8/5/2022,B711404,1,173,B301721,5,137,B699459,8,168
